AMC,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
32,2,2,7.48,26.92,40.85,23.2,500,35,457285,1,12
32,0,0,6.89,13.18,0.0,0.0,500,35,82098,1,11
19,3,3,6.23,37.47,41.75,22.22,500,36,1756099,1,1
19,0,0,5.4,14.31,37.0,0.0,500,36,340275,1,11
19,4,4,7.44,101.32,43.99,22.78,500,36,423321,1,1
30,0,2,3.81,240.02,36.02,17.29,500,37,38717,1,7
30,1,2,2.99,161.48,36.44,16.12,500,37,5198,1,7
30,0,2,2.99,161.48,36.44,16.12,500,37,5198,1,7
12,3,2,6.88,25.64,37.43,15.66,500,38,181076,1,11
12,3,3,5.34,492.11,34.29,15.65,500,38,201536,1,11
20,0,1,7.26,14.31,15.24,9.94,500,39,11021,2,11
20,0,0,5.13,11.86,0.0,0.0,500,39,3361,3,11
20,0,0,0.0,11.66,0.0,0.0,500,39,3644,3,11
4,2,3,5.56,156.4,39.04,23.26,100,40,1041226,1,1
4,4,4,6.67,138.17,55.87,26.66,100,40,655258,1,9
4,3,3,10.28,48.18,75.93,28.98,100,40,75342,1,12
4,0,3,6.63,213.11,36.79,16.69,100,40,775792,1,7
4,3,2,5.89,25.21,29.7,13.98,100,40,78847,2,11
30,2,0,5.08,140.55,41.04,17.74,500,41,24026,1,1
13,0,0,0.69,11.54,8.4,0.0,500,42,178075,3,4
13,0,0,0.62,11.31,7.97,0.0,500,42,26479,3,4
13,0,0,0.69,11.6,8.07,0.0,500,42,879386,3,4
13,0,0,0.9,11.74,9.14,0.0,500,42,92801,3,6
13,0,0,0.79,11.7,8.7,0.0,500,42,95691,3,6
11,4,2,0.54,54.4,7.09,5.72,100,43,1794045,0,4
11,4,4,0.81,30.48,8.08,5.83,100,43,303708,0,6
2,3,4,7.62,108.36,39.6,22.75,100,44,2377171,1,12
2,0,0,7.46,18.15,53.04,0.0,100,44,655148,1,11
32,4,0,0.56,6706.89,7.06,5.75,10000,45,1506664,0,6
32,4,0,0.67,5903.26,6.99,7.17,10000,45,279482,0,4
32,4,5,0.61,2900.52,7.59,6.27,500,45,1506664,0,6
32,0,0,1.18,11.81,9.14,0.0,500,45,16456,0,6
32,5,5,0.7,3335.79,7.47,7.65,500,45,279482,0,4
32,0,0,3.02,12.19,19.33,0.0,500,45,303671,2,8
32,4,4,0.77,15.34,7.76,5.54,500,45,394343,0,6
32,5,1,0.62,20.55,7.47,7.72,500,45,83184,0,6
16,3,3,4.88,25.59,36.57,16.52,100,46,367218,1,9
16,0,0,8.93,10.37,15.35,0.69,100,46,6171,3,11
16,0,0,5.57,10.04,23.02,0.21,100,46,74407,3,11
16,2,0,1.55,22.5,12.38,0.74,100,46,8866,3,11
11,0,0,2.44,11.82,0.0,0.0,100,47,11432,3,11
11,0,0,5.28,15.96,35.5,0.0,100,47,16854,3,11
11,0,0,5.42,18.73,46.34,0.0,100,47,22337,3,11
11,0,0,7.81,20.0,51.71,0.0,100,47,30101,3,11
11,0,0,6.91,10.84,0.0,0.0,100,47,34066,3,11
11,0,0,0.0,10.22,0.0,0.0,100,47,3820,3,11
11,0,0,3.35,12.2,0.0,0.0,100,47,77462,3,11
2,0,0,4.73,17.49,38.37,17.06,100,48,117398,1,9
2,0,0,4.15,10.59,0.0,0.0,100,48,12211,3,11
2,0,0,5.9,18.92,39.01,13.11,100,48,127878,1,11
2,0,3,5.0,22.4,32.39,14.53,100,48,16952,3,11
2,0,0,5.82,16.9,38.52,0.0,100,48,284111,1,11
2,0,0,4.97,11.39,0.0,0.0,100,48,4553,3,11
22,0,5,4.03,20.08,29.85,18.56,100,49,25613,3,11
22,3,0,4.64,71.82,44.16,21.85,100,49,8275,1,9
9,0,4,6.38,39.48,46.28,20.26,100,50,234048,1,7
9,2,2,5.78,113.51,37.6,17.38,500,50,40356,1,7
15,2,4,4.06,21.21,43.16,22.91,100,51,16483,1,9
15,3,2,0.48,31.06,7.22,5.57,100,51,17985,2,2
15,0,0,8.81,10.95,0.0,0.0,100,51,51594,1,11
15,4,5,4.81,130.14,48.7,23.46,100,51,57807,2,7
15,4,4,5.89,52.26,51.46,22.94,500,51,18135,1,7
8,0,3,7.68,106.95,39.11,16.44,100,52,1213936,1,7
1,2,1,6.31,61.63,35.04,13.14,500,53,1683053,1,11
1,2,1,6.31,61.63,35.04,13.14,500,53,1683053,1,11
